True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping,All
sitting,17,0,2,0,0,0,2,0,0,1,3,25
sitting_phone_talking,0,4,3,1,1,0,3,4,7,0,1,24
standing,1,0,4,1,0,1,3,0,4,0,0,14
standing_phone_talking,0,1,6,4,3,1,3,2,2,3,2,27
walking_cart,0,1,0,5,9,0,0,1,1,0,0,17
walking_fast,0,0,0,0,0,19,0,0,0,0,0,19
walking_phone,2,2,3,1,0,0,14,3,4,1,0,30
walking_phone_talking,0,2,3,1,3,0,3,6,0,1,0,19
walking_slow,0,1,4,2,2,0,1,1,7,0,0,18
wandering,1,1,1,3,1,0,2,0,3,13,0,25
window_shopping,0,1,0,0,0,0,0,0,0,0,17,18
All,21,13,26,18,19,21,31,17,28,19,23,236
