True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping,All
sitting,19,2,0,0,0,0,0,1,0,1,2,25
sitting_phone_talking,0,6,3,0,2,0,4,4,5,0,0,24
standing,1,2,4,1,1,0,2,0,1,2,0,14
standing_phone_talking,1,3,1,6,4,3,1,3,3,2,0,27
walking_cart,0,0,0,1,13,0,0,1,2,0,0,17
walking_fast,0,0,0,0,0,17,0,0,1,1,0,19
walking_phone,1,6,2,3,1,0,11,4,2,0,0,30
walking_phone_talking,0,4,2,3,0,1,0,9,0,0,0,19
walking_slow,0,0,1,1,1,0,1,0,14,0,0,18
wandering,1,1,2,2,0,0,4,1,3,11,0,25
window_shopping,0,0,0,0,0,0,0,0,0,0,18,18
All,23,24,15,17,22,21,23,23,31,17,20,236
