True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping,All
sitting,26,2,0,1,0,0,0,0,1,0,2,32
sitting_phone_talking,2,10,11,0,1,0,0,2,4,2,0,32
standing,0,3,12,2,2,1,3,0,4,4,0,31
standing_phone_talking,4,1,2,11,2,2,3,3,3,5,0,36
walking_cart,0,0,0,0,32,0,0,2,0,0,0,34
walking_fast,0,1,0,1,0,33,0,0,0,0,0,35
walking_phone,1,1,2,1,1,0,11,3,3,2,0,25
walking_phone_talking,0,2,1,4,1,0,5,18,8,0,0,39
walking_slow,0,8,3,1,2,0,3,1,20,1,0,39
wandering,0,4,1,1,0,0,3,2,0,27,0,38
window_shopping,1,0,0,0,0,0,0,0,0,0,37,38
All,34,32,32,22,41,36,28,31,43,41,39,379
