True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping
sitting,76.47058823529412,6.25,0.0,4.545454545454546,0.0,0.0,0.0,0.0,2.3255813953488373,0.0,5.128205128205129
sitting_phone_talking,5.882352941176471,31.25,34.375,0.0,2.4390243902439024,0.0,0.0,6.451612903225806,9.30232558139535,4.878048780487805,0.0
standing,0.0,9.375,37.5,9.090909090909092,4.878048780487805,2.7777777777777777,10.714285714285714,0.0,9.30232558139535,9.75609756097561,0.0
standing_phone_talking,11.764705882352942,3.125,6.25,50.0,4.878048780487805,5.555555555555555,10.714285714285714,9.67741935483871,6.976744186046512,12.195121951219512,0.0
walking_cart,0.0,0.0,0.0,0.0,78.04878048780488,0.0,0.0,6.451612903225806,0.0,0.0,0.0
walking_fast,0.0,3.125,0.0,4.545454545454546,0.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
walking_phone,2.9411764705882355,3.125,6.25,4.545454545454546,2.4390243902439024,0.0,39.285714285714285,9.67741935483871,6.976744186046512,4.878048780487805,0.0
walking_phone_talking,0.0,6.25,3.125,18.181818181818183,2.4390243902439024,0.0,17.857142857142858,58.064516129032256,18.6046511627907,0.0,0.0
walking_slow,0.0,25.0,9.375,4.545454545454546,4.878048780487805,0.0,10.714285714285714,3.225806451612903,46.51162790697674,2.4390243902439024,0.0
wandering,0.0,12.5,3.125,4.545454545454546,0.0,0.0,10.714285714285714,6.451612903225806,0.0,65.85365853658537,0.0
window_shopping,2.9411764705882355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.87179487179488
